"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	Спакувати посилку на зупинці БУЛО ПОГАНОЮ ІДЕЄЮ  До якогось чоловіка причепився алкаш (чи він має психічні порушення)  Той чоловік з жінкою встали і пішли і цей мужик підійшов до мене 😃  Якраз все швидко упакувала"	 схопила пакет і пішла  #УкрТві #Львів #Lviv #Україна #Ukraine							
"ru	RT @valeriazolota: Дорогие друзья"	 молитесь за Украину	 за наших детей	 защитников Родины	 мирных людей. 🙏🌏💔 #StopWarUkraine🇺🇦  #Kyiv #ukra…				
"ru	В Токмаке Запорожской области оккупантские свинособаки сняли украинский герб со здания горсовета. #Ukraine https://t.co/86TWdP03E8"								
"uk	RT @digidiploTaiwan: Що спільного між Тайванем та Україною? Ми перетворюємо ракети наших сусідів на щось корисне. Ми славимо хоробрість укр…"								
"uk	RT @BMI_Bund: У портала допомоги #Germany4Ukraine з'явилася нова важлива функція. Відтепер біженці можуть подавати онлайн-заяву на отриманн…"								
"uk	RT @mil_in_ua: 🇺🇦 На Миколаївщині окупанти влучили у склад з селітрою  Деталі: https://t.co/qlJwosLmmA  #Україна #Ukraine"								
"uk	Ідіть ебать себе"	 Путін! (Ukrainian)  #FuckPutin #Ukraine #IStandWithUkraine #StopPutin							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	RT @digidiploTaiwan: Що спільного між Тайванем та Україною? Ми перетворюємо ракети наших сусідів на щось корисне. Ми славимо хоробрість укр…"								
"ru	Харьков. Свалка каркасов кассетных ракет"	 собранных аварийными и спасательными службами по городу. Вот такая она	 свалка XXI века #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimesInUkraine https://t.co/NtGVuLBUwZ						
"ru	За два месяца войны Азов в Мариуполе уничтожил до 2000 оккупантов и десятки единиц техники https://t.co/OkjSWRpKOM #Russia #Ukraine"								
"uk	RT @mil_in_ua: 🇺🇦 Українські військові знищили бронетехніку російський військових в селі Сулигівка на Харківщині  Ця техніка мала відправит…"								
"ru	RT @ukrainenewstop: Уничтожения российских захватчиков с помощью модернизированного квадрокоптера Mavic 3  Специалисты оснастили дрон подве…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	RT @valeriazolota: Дорогие друзья"	 молитесь за Украину	 за наших детей	 защитников Родины	 мирных людей. 🙏🌏💔 #StopWarUkraine🇺🇦  #Kyiv #ukra…				
"uk	#Zaporizhzhya - #Mariupol"	 #Ukraine [02.05.2022] Звичайний український бізнесмен збирає бажаючих для спасіння мешканців «Азовсталі». Максимальний репост. https://t.co/U2Vlpd7xm9							
"uk	RT @mil_in_ua: 🇺🇦Бійці 24-ї бригади ліквідували російських десантників на Луганщині  Семеро окупантів лишилися живими"	 всіх інших ліквідова…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"ru	""Фонд """"Образование для демократии"""" (FED)"	 член Форума) помогает украинским беженцам в Польше. На сайте  https://t.co/x1Wi0qIncQ фонд подготовил проверенную подборку практической информации	 которая поможет беженцам и тем	 кто их поддерживает	" организовать свои действия. #ukraine https://t.co/yreTPu5ITf"""				
"uk	RT @ValerieKayserD: @ZelenskyyUa @SpeakerPelosi ‘You’re fight is a fight for everyone’ (Ваша боротьба - це боротьба для всіх) Mrs. Nancy Pe…"								
"ru	“Цветущий сад. Магнолии” Анна Колос #art #Ukraine  https://t.co/MAio2oT12K https://t.co/bkSsQ0eASe"								
"ru	https://t.co/ptZrRQS7Cd  Генерал сказал"	 кто и как ответит первым на возможный ядерный удар РФ  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика							
"uk	Посварилася з братом. Я вважаю що салюти в Україні треба заборонити"	 а він каже що це традиція. Не знаю тепер чи рідні ми.  #укртві #Україна #Ukraine							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	RT @Ukraine_Twi: Севастополь"	 Крым. На местном кладбище появились сотни свежих могил. Судя по всему	 спецоперация Путина идет по плану	 пот…					
"uk	RT @Jn_7L: Розстріляна весна… розстріляні мрії… і стогне від болю земля в моїй Україні…  🇺🇦 #Ukraine https://t.co/ssUoDjPbcz"								
"ru	""‼️🇺🇦Над #Киевом разносится пугающий грохот """"Довольно странные звуки"	" официальной информации нет. Предварительно ТЭЦ-6 шумит"""" - пишут в Сети.  ‼️🇺🇦#Киев #kiew #kiev #Kyiv #Kijów #WARINUKRAINE #war #UkraineWar #Ukraine #Ukraina #UkraineRussiaWar #Russian #StopRussia #StopWar https://t.co/8nfDYap8xi"""							
"ru	Грошик UA https://t.co/SWxBK1LPbd #UA #Ukraine #взятикредитнакартусрочно #кредитонлайннарік #кредитонлайннакартувукраїні #кредитна1000грн #кредитонлайннакартку Грошик предлагает вам удобную альтернативу"	 которой уже пользуются миллионы https://t.co/l0OQ5RGRrp							
"ru	Kf UA https://t.co/QQWYWsjfiS #UA #Ukraine #онлайнгрошінакартку #кредитнакартутерміново #оформитикредитонлайннакарту #creditнакартуонлайн #кредитонлайннакартутерміново На оффере действует бонусная сетка:  • 1-20  первых выданных займов https://t.co/FwGmsX9GUG"								
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"uk	RT @mil_in_ua: 🇺🇦Мобілізація в Україні може продовжитися після 24 травня  Наразі вона виконана на 100%.  Деталі: https://t.co/7Kq8khxCn8  #…"								
"uk	RT @neliaviktorovna: Россія завжди кричала що треба встати з колін! Правильно. Вона встала. Щоб стати раком! Браво! #Ukraine #RussiaGoHome…"								
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @anticrisismedia: Хроніки війни. Луганщина. День 64 #Ukraine #WARINUKRAINE #RussianUkrainianWar https://t.co/NUXJjGjMqH"								
"uk	RT @berdynskykh_k: Київ. Весна-літо 2022 #Ukraine🇺🇦 https://t.co/sB22OTi2tS"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @mil_in_ua: 🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі…"								
"uk	RT @mil_in_ua: 🇺🇦 У звільненому населеному пункті Руська Лозова українські військові показали полонених та знищену техніку армії Росії  Це…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @protest_da: Экслюзивные кадры боевых действий в Черниговской области от украинского военного  #Украина #Ukraine #UkraineWar #RussiaUkra…"								
"uk	🇺🇦Село Руська Лозова на Харківщині звільнено від російських окупантів  Деталі: https://t.co/r39rI3E45C  #Україна #Ukraine"								
"uk	RT @FCShakhtar: ⚽️ Результативна нічия 3:3 у благодійному матчі з «Хайдуком» 🇺🇦🤝🇭🇷  Дивіться голи Топалова"	 Стасюка	 Борячука та інші найкр…						
"uk	RT @antiputler_news: – Дочка не встигла. Довелося поховати її на городі під грушею.   #Україна"	 #Украина	 #Ukraine	 #ВійнаУкраїна	 #WarUkra…				
"ru	WP: Недовольство российских элит войной в Украине растет. Может начаться большая битва внутри России https://t.co/LJodSO7XfT #Ukraine #Russia"								
"uk	RT @owzh_ch: ⚠️ БЕЗКОШТОВНИЙ КУРС ⚠️ #НІМЕЦЬКОЇ ​​А1-2 ДЛЯ #УКРАЇНЦІВ. НАПРЯМО З #ШВЕЙЦАРІЇ НА ZOOM 👨‍🏫 🇨🇭🤝🇺🇦 _____  Напишіть приватне пові…"								
"uk	RT @Dzhokhar_Dudaev: Обращение Рабсиянам#ukraine #russia #ukrainevsrussia #kiev #kharkov #Putin_terorist #russia_terorist #stoprussia #Cauc…"								
"uk	RT @mil_in_ua: 🇺🇦 У вільному доступі з’явилося відео"	 як Збройні Сили України з ПТРК уразили другий російський вертоліт Ка-52  Повідомлено	…						
"ru	RT @Za_nashihVZ: Скажите еще раз"	 почему вас удивляет	 что НАТО на стороне нацистов? #Путин #Зеленский #байден #война #россия #украина #Put…						
"ru	Видео для разрыва ватных пуканов  #Война #Путин #Ukraine #Kremlin #Russia #War #RuSSiaKills #Россия #StandWithUkraine #StopPutin #нетвойне #StopRussianAggression #Санкции #РФ #путинхуйло https://t.co/RSjcE6DtWL"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦Палата представників Сполучених Штатів більшістю голосів ухвалила закон про ленд-ліз та захист демократії в Україні  Це…"								
"ru	RT @OnfireUkraine: Российские военные разрушают систему здравоохранения Украины. #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #St…"								
"uk	Отже"	війна!🇺🇦#UkraineWar #UkraineRussiaConflict #Ukraine #UkraineUnderAttaсk #StopWar #UkraineRussianWar #Украина  Чи замислюєшся Ти	 чому у світі відбуваються війни	 чому люди шкодять один одному і чому нас оточує стільки зла? І чому Бог це допускає?👇  https://t.co/hDT4ue5fdY					
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"ru	Олесь Бузина"	 как есть об #Ukraine  https://t.co/KBMG1lIkkT  #славяне #Украина #World #Russia #Europe https://t.co/ANcay4rPxV							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"ru	В Украине не осталось людей"	 которые хорошо относятся к Путину – опрос Рейтинга https://t.co/bf1qzrNjjF #Russia #Ukraine							
"uk	Мої діалоги з чоловіками: - Привіт"	 красуня. - Привіт	 дякую. - Прийдеш до мене в квартиру	 вина вип'ємо	 фільм подивимось. - Ні 🗿 - Шлюха  Або - Привіт	 красуня	 вашій мамі зять не потрібен? - Ні - Уродка.  (Ситуації справжні)  #УкрТві #Львів #Lviv #Ukraine #Україна		
"uk	RT @mil_in_ua: В Конгресі 🇺🇸США хочуть дозволити використання армії в 🇺🇦Україні  Конгресмен від Іллінойсу Адам Кінзінгер прагне дозволити в…"								
"ru	Prostogroshi UA https://t.co/f9SLKM8PXZ #UA #Ukraine #кредитионлайнукраїна #кредитинакарту #кредитнакартуcredit10 #кредитонлайннакартунарік #якоформитикредитонлайн ПростоГроші - сервис"	 который позволяет получить займ просто. Компания п https://t.co/5wHR7zi7NB							
"uk	🔴 LIVE! «Хайдук» – «Шахтар»! ⚒ Благодійний матч на підтримку України! 🇺🇦  🇺🇦 Купуйте віртуальний квиток для допомоги Україні: https://t.co/eQHnUp2Lva.  https://t.co/w7NiX0dbzo  #ХайдукШахтар #Shakhtar #Україна #Ukraine #StandWithUkraine"								
"uk	RT @lolasupelova: #укртві #Ukraine Будь-ласка кричіть про Маріуполь на всіх офіційних джерелах турецької влади! Просіть процедуру «extracti…"								
"uk	⚡️Кроки оформлення #картки #Binance для українців: 🔻зареєструватись https://t.co/7nYTFD29Va 🔻 пройти верифікацію з #Ukraine документами 🔻 прив'язати європ. номер телефону 🔻 подати заявку на відкриття 👉 https://t.co/ob89nhWxvE #біженці отримають 225 BUSD протягом 3-х місяців"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	""RT @S_vivat: Мариуполь. Дети на заводе """"Азовсталь"""". Каждый день кто-то из них погибает. Русские их морят голодом"	 бомбят бомбами	" потому чт…"""						
"ru	""RT @S_vivat: Российский генерал Симонов ликвидирован в результате удара ВСУ 🇺🇦 в районе Изюма. По разведданным"	" около 100 """"двухсотых"""" в рез…"""							
"uk	Я не маю підписоти є"	 але хоча б випадкових людей попросю поставити лайк якщо ненавидите русню так як я тобто усім серцем #Ukraine #війна #войнавукраине							
"uk	RT @mil_in_ua: 🇺🇦 NLAW та бронетехніка російських військових в Україні  YouTube: https://t.co/dR7NJCQz2q  #Україна #Ukraine https://t.co/sK…"								
"uk	❗️бандерівці"	 петлюрівці	 мельниківці	 бульбівці	 мазепинці❗️  Від кого росня в штани накладала від страху	 так нас і називала.  #Бандерівці #Ukraine #UkraineWar #RussiaUkraineWar #РусскийМир			
"uk	RT @FCShakhtar: 🙏 13 європейських клубів передали допомогу для України 🇺🇦  28 квітня партію гуманітарного вантажу було доставлено на «Арену…"								
"ru	Скорая помощь Чернигову. Лидер сборной Украины подготовил сюрприз землякам  https://t.co/2Ewgq8qNcY  #Ukraine #war #PutinStopWar"								
"uk	Благаю!!! Допоможіть знайти чоловіка Маховського Валентина Робертовича 28.03.1982р.н. Останнє місце перебування не відоме. Телефон для зв’язку 0968239827  _  #МаховськийВалентинРобертович #sosUA #Ukraine  Web:  https://t.co/3H8tfwHyHn"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @Za_nashihVZ: Мнение простого ротного из донецких мобилизованных про миссию ООН и про переговоры с засевшими на Азовстали. #putin #russi…"								
"ru	https://t.co/8Hn0nbaCK7  1 мая: традиции"	 история	 пожелания и поздравления к торжеству  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика						
"uk	Турецький чоловік продовжує писати"	 я не відповідаю.  Написав	 що між нами все скінчено. А ЩОСЬ БУЛО ПОЧАТО? 🧐🤔🤣  4 дні лише протримався	 щоб знову мені написати і щоб я знову нічого не відповідала 😃  #УкрТві #Львів #Lviv #мужик #Україна #Ukraine #пікап https://t.co/HgpOHVpTNc					
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"uk	Тендітна й ароматна мить #itsukraine #spring2022 #springflowers #ukraine🇺🇦 https://t.co/5QfLjmh0cD"								
"uk	RT @mil_in_ua: 🇺🇦 Фондову колекцію музею Києва поповнило хвостове оперення збитого російського штурмовика Су-25СМ  Частину літака ПКС Росії…"								
"ru	""RT @Za_nashihVZ: """"Андрюха"	 (БЕЗРУК АНДРЕЙ ПАВЛОВИЧ)	 который собирался приехать ко мне домой резать рашистов. Не утруждай себя	" скоро будем…"""					
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України знищили місце розташування боєприпасів російських військових  Також бійці уразили техніку росіян"	 як…							
"uk	RT @mil_in_ua: 🇺🇦 Фондову колекцію музею Києва поповнило хвостове оперення збитого російського штурмовика Су-25СМ  Частину літака ПКС Росії…"								
"uk	З моїм батьком ситуація в Луганську гірше"	бо бабусі прийшов лист	 що його запхали в психіатричну лікарню через приступ	 а до приступа його дуже сильно били та повибивали йому зуби. Його організм просто не витримав стрес  Він 3 роки в полоні  #УкрТві #Львів #Lviv #Ukraine #Україна					
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на Харківщині знищили військову техніку російських окупантів  Працювала українська артилерія.  https:…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України захопили у полон російських військових та провели їх допит  Одному з полонених 59-го гвардійського т…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	Раньше на Руси были главные вопросы:  кто виноват? и что делать?  сейчас: А что случилось?  #Россия   #Украина #нетвойне #Russia #Ukraine    #такиживём #особыйпуть #Z #поколение #Путин #молодежь #young #философия #СМИ #новости https://t.co/lhibMT7xbN"								
"ru	RT @Za_nashihVZ: Мнение простого ротного из донецких мобилизованных про миссию ООН и про переговоры с засевшими на Азовстали. #putin #russi…"								
"uk	Слава всім хто захищає Україну!  #ЗСУ #WARINUKRAINE #WarCrimes #ArmUkraineNow #PutinWarCriminal #Mariupol #Ukraine https://t.co/vWfPrW0eSr"								
"uk	RT @mil_in_ua: 🇺🇦Воїни-десантники знищили групу спеціального призначення російських окупантів на Донбасі  Окупанти прибули з Сибіру.  https…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @alex_sols: #Ukraine Россию могут лишить права вето в ООН после нанесения удара крылатой ракетой по жилому дому в центре Киева.  Об этом…"								
"ru	KreditRadar UA https://t.co/kCirUPN5aV #UA #Ukraine #кредитонлайн10000 #взятикредитонлайннакарточку #кредитнагодонлайн #кредитионлайнукраина #кредит365украина Kreditradar - это сервис онлайн кредитов"	 который поможет быстро получить ден https://t.co/Is5bIrTZkv							
"ru	RT @S_vivat: ВСУ🇺🇦 транспортируют трофейный ЗРК «Бук». Теперь он будет сбивать самолеты оккупантов. #Ukraine #UkraineRussianWar #UkraineWar…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	Настоящее гетто: Россияне раздают мариупольцам «правила жизни» в оккупации https://t.co/idM3yytXlL #Ukraine #Russia"								
"uk	RT @Melton14Yvonne: Комуністична партія Китаю є основною причиною лих у всьому світі. #Украина #Россия #агрессияРоссии #вторжениеРоссии #st…"								
"ru	RT @OnfireUkraine: В центре Киева можно увидеть подбитую российскую технику как экспозицию. А именно хвостовую часть самолета Су-25 СМ ВКС…"								
"ru	""RT @Za_nashihVZ: """"Андрюха"	 (БЕЗРУК АНДРЕЙ ПАВЛОВИЧ)	 который собирался приехать ко мне домой резать рашистов. Не утруждай себя	" скоро будем…"""					
"uk	Я настільки довіряю ЗСУ"	 що одягаю два навушники 🇺🇦💙💛#StopRussia #StandUpForUkraine #Ukraine							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"ru	RT @protest_da: Русский корабль идёт в правильном направлении   #Украина #Ukraine #UkraineWar #RussiaUkraineWar #war #UkraineRussianWar #WA…"								
"uk	#ukraine Світові лідери знають про злочини окупантів у Маріуполі: Зеленський розповів про евакуацію місцевих  https://t.co/PQgIvaXzxZ  https://t.co/nnryI55pxb"								
"ru	RT @Za_nashihVZ: Они просто друг у друга пробовали"	 вот и не помогает 🐽 #азов  #Азовстал #Ukraine #Russia https://t.co/NDN2Zw3S2Z							
"uk	""RT @mil_in_ua: 🇺🇦Сили оборони України ліквідували батарею ворожих РСЗВ """"Ураган""""  Військові 30 окремої механізованої бригади ім. князя Костя…"""								
"ru	RT @Za_nashihVZ: Сердце в броне"	 но оно живое. Вы все герои	 ребята	 это аксиома. Каждому - будь! ✌️🇷🇺 #Ukraine #kyiv #ukraineWar #azov #Uk…					
"uk	Білгород"	 Росія. Декілька повідомлень повідомляють про український напад на військову об'єкт. Також повідомлялося про напад на міст у Курську. #RussiaUkraineWar #Ukraine #belgorov https://t.co/CXeB4vvuqd							
"uk	#ukraine окупанти намагаються утримати позиції біля Харкова і завадити перегрупуванню українських військ – Генштаб  https://t.co/JY7Cbf6nsW  https://t.co/N8IslTFGdi"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	Русский солдат! Ты ответишь за все свои преступления! Мы тебя найдём. #Anonymous #Ukraine #AnonymousRussia #Russia #Russian #OpRussia #FckPutin #StopPutin #нетвойне https://t.co/ZKFnWMizEs"								
"ru	""RT @S_vivat: Десантники ВСУ🇺🇦 из ПТРК """"Стугна-П"""" уничтожают танк🔥российско-фашистских оккупантов. Смерть оккупантам!!! Слава Украине!!! Сла…"""								
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 Сполучені Штати показали завантаження гусеничних бронетранспортерів M113 для України  Додатково США відправляють M113 у…"								
"ru	RT @Za_nashihVZ: Скажите еще раз"	 почему вас удивляет	 что НАТО на стороне нацистов? #Путин #Зеленский #байден #война #россия #украина #Put…						
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"ru	RT @OnfireUkraine: Наши бойцы встречают оккупантов тепло и даже с огоньком  #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWi…"								
"uk	RT @UaFcoin: 🇺🇦 НОВИНИ 29.04  🌼 Доїхала оптика! 🌼 Новий комікс від Дани Вітковської 🌼 Новий NFT-котик від Анни Тітової завтра 🌼 Звіт про ре…"								
"ru	RT @voynareal: На Восточном фронте уничтожение вражеской техники происходит по плану  🇺🇦Реальная Война  #Ukraine #UkraineRussiaWar #Ukraine…"								
"ru	По факту нападения на #Ukraine в рамках Римского статута привлечь Путина к ответственности в МКС https://t.co/OuZqpDgaIw"								
"ru	#Ukraine готова к неотложным переговорам по эвакуации людей из Мариуполя и рассчитывает на подде https://t.co/Asy481tEbP"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	Россию нужно победить. Иначе будет еще одна война – советник Дуды https://t.co/WINzuYFJNW #Russia #Ukraine"								
"uk	RT @mil_in_ua: 🇺🇦У Київській області поліцейські знайшли покинуту техніку окупантів та російського кулеметника"	 який переховувався  Окупант…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	Навіщо вам носилки? Чи то ви 300-х почали забирати? @sternenko"	 тут щось круче “паур банку” під’їхало 😄 всім селом гроші збирали  #RussiaUkraineWar #Ukraine #UkraineWar https://t.co/XsN2aDFEel							
"ru	RT @S_vivat: Российские фашисты"	 с паспортом гражданина РФ	 которые «освобождали» Украину в 2014 году.  #Ukraine #UkraineRussianWar #Ukrain…						
"ru	Бойцы ВСУ показали"	 как выглядит штаб россиян в освобожденном вчера под Харьковом селе Кутузовка Настоящий свинособачий бомжатник! #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimesInUkraine https://t.co/8i5VAfvBhM							
"uk	RT @TerryWays1: Підтримуємо економіку країни) #УкрТві #Belgorod #Ukraine https://t.co/GPyhtUTKy4"								
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"uk	Максик порадував пісенькою! 👍🔥 #MAXBARSKIH - Don't F@ck With #Ukraine [Прем'єра кліпу] https://t.co/qsHC6r4ztp через @YouTube"								
"uk	RT @Web30987166830: https://t.co/QPR3pctc2y #Ukraine  #МАШИННЕ НАВЧАННЯ #НЕЙРОННІ МЕРЕЖІ #РОЗПІЗНАВАННЯ ОБРАЗІВ #ANONYMOUS"								
"uk	RT @mil_in_ua: 🇺🇦 Українським армійцям та теробороні благодійники підготували 22 маневрові автівки  Джипи та пікапи шукали по всій Європі —…"								
"uk	RT @Melton14Yvonne: Комуністична партія Китаю є основною причиною лих у всьому світі. #Украина #Россия #агрессияРоссии #вторжениеРоссии #st…"								
"uk	RT @mil_in_ua: 🇺🇦СБУ знешкодила ДРГ окупантів"	 яка планувала збити пасажирський літак з української зброї  Деталі: https://t.co/2cnBwoGuFf…							
"ru	Слова из гимнов очень ПОКАЗАТЕЛЬНО! #USA средь битвы...огнем с баррикад...подлым врагам...на чужом берегу...надменный наш враг...банда убийц...пламя войны...кровью ответ...ждет могилы вас тлен...меж разрухи войны #Ukraine ...еще не умерла...зовут нас из могил...⤵️ https://t.co/HLtV0Zi69t"								
"ru	@GabrysiakHelmut @AgnieszkaO2GA #Путин ЭТО ГЕНОЦИД‼☠  #PutinWarCriminal ☠#PutinsWarCrimes #Bucha #RussianUkrainianWar #UkraineRussianWar #Mariupol  #Russia #Ukraine #Ukrainian #Putin le pen #ГероиZ #lepen #StopPutinNOW #war #Россия #война #StopWar #StopRussianAggression #wieszwiecej #UkraineUnderAttack https://t.co/7tsfh5c2of"								
"uk	RT @mil_in_ua: 🇺🇦Село Руська Лозова на Харківщині звільнено від російських окупантів  Деталі: https://t.co/r39rI3E45C  #Україна #Ukraine"								
"ru	RT @Za_nashihVZ: Они просто друг у друга пробовали"	 вот и не помогает 🐽 #азов  #Азовстал #Ukraine #Russia https://t.co/NDN2Zw3S2Z							
"ru	Кредит Кафе UA https://t.co/X1qey3gTtd #UA #Ukraine #онлайнкредитивукраїні #cloanкредит #онлайнзаявкикредит #creditонлайн #грошіонлайннакарточку КредитКафе - место"	 где регулярно одалживают деньги на любые нужды! Воспользоваться услугой https://t.co/8ZZKcjcmXY							
"uk	RT @dieshinhoff: #ArtistOnTwitter #Ukraine #art #Digital  Мій настрій щось видушив з себе.. наляписта незрозумілість. То нехай буде https:/…"								
"ru	""RT @6one_4ev: #StandWithUkraine #Ukraine #stoprussia #stoprussianagression  #Mariupol"	" """"Азовсталь"""" https://t.co/fWw7K0alWb"""							
"ru	Приват Банк UA (кредитная карта) API https://t.co/VcGHHjbnrY #UA #Ukraine #кредитна10000грн #кредитна1000грн #кредитукраїнаонлайн #кредитонлайн2020 #кредитонлайнпотелефону Преимущества работы с оффером:  Минимум полей среди всех банков https://t.co/KSDiiJzb7b"								
